AImages,corrans,corransB,BImages,CImages,corransC,corransD,DImages,EImages,corransE,A.thisRepN,A.thisTrialN,A.thisN,A.thisIndex,B.thisRepN,B.thisTrialN,B.thisN,B.thisIndex,C.thisRepN,C.thisTrialN,C.thisN,C.thisIndex,D.thisRepN,D.thisTrialN,D.thisN,D.thisIndex,E.thisRepN,E.thisTrialN,E.thisN,E.thisIndex,key_resp_2.keys,key_resp_2.rt,Intro_key_resp.keys,Intro_key_resp.rt,Break_key_resp.keys,Break_key_resp.rt,SET_A_Key.keys,SET_A_Key.corr,SET_A_Key.rt,Set_B_key_resp.keys,Set_B_key_resp.corr,Set_B_key_resp.rt,C_key_resp.keys,C_key_resp.corr,C_key_resp.rt,D_key_resp.keys,D_key_resp.corr,D_key_resp.rt,E_key_resp.keys,E_key_resp.corr,E_key_resp.rt,Outro_key_resp.keys,Outro_key_resp.rt,date,frameRate,expName,session,participant
C:\Users\Shane\Desktop\RavenPyV5\A_5.png,6,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,1,0,3.252573215,,,,,,,,,,,,,,,2017_Jun_07_2002,32.00025584,Rv4,1,1234
C:\Users\Shane\Desktop\RavenPyV5\A_4.png,2,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,2,1,0.032264181,,,,,,,,,,,,,,,2017_Jun_07_2002,32.00025584,Rv4,1,1234
C:\Users\Shane\Desktop\RavenPyV5\A_10.png,2,,,,,,,,,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,3,0,0.001176003,,,,,,,,,,,,,,,2017_Jun_07_2002,32.00025584,Rv4,1,1234
C:\Users\Shane\Desktop\RavenPyV5\A_11.png,3,,,,,,,,,0,3,3,10,,,,,,,,,,,,,,,,,,,,,,,1,0,0.344037822,,,,,,,,,,,,,,,2017_Jun_07_2002,32.00025584,Rv4,1,1234
C:\Users\Shane\Desktop\RavenPyV5\A_6.png,5,,,,,,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,2,0,0.031575433,,,,,,,,,,,,,,,2017_Jun_07_2002,32.00025584,Rv4,1,1234
C:\Users\Shane\Desktop\RavenPyV5\A_8.png,3,,,,,,,,,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,3,1,0.00041811,,,,,,,,,,,,,,,2017_Jun_07_2002,32.00025584,Rv4,1,1234
C:\Users\Shane\Desktop\RavenPyV5\A_12.png,6,,,,,,,,,0,6,6,11,,,,,,,,,,,,,,,,,,,,,,,1,0,0.247419762,,,,,,,,,,,,,,,2017_Jun_07_2002,32.00025584,Rv4,1,1234
C:\Users\Shane\Desktop\RavenPyV5\A_1.png,4,,,,,,,,,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0.000503461,,,,,,,,,,,,,,,2017_Jun_07_2002,32.00025584,Rv4,1,1234
C:\Users\Shane\Desktop\RavenPyV5\A_7.png,1,,,,,,,,,0,8,8,6,,,,,,,,,,,,,,,,,,,,,,,3,0,0.000599075,,,,,,,,,,,,,,,2017_Jun_07_2002,32.00025584,Rv4,1,1234
C:\Users\Shane\Desktop\RavenPyV5\A_2.png,5,,,,,,,,,0,9,9,1,,,,,,,,,,,,,,,,,,,,,,,1,0,0.21907199,,,,,,,,,,,,,,,2017_Jun_07_2002,32.00025584,Rv4,1,1234
C:\Users\Shane\Desktop\RavenPyV5\A_9.png,4,,,,,,,,,0,10,10,8,,,,,,,,,,,,,,,,,,,,,,,2,0,0.000609339,,,,,,,,,,,,,,,2017_Jun_07_2002,32.00025584,Rv4,1,1234
C:\Users\Shane\Desktop\RavenPyV5\A_3.png,1,,,,,,,,,0,11,11,2,,,,,,,,,,,,,,,,,,,,,,,3,0,0.00055748,,,,,,,,,,,,,,,2017_Jun_07_2002,32.00025584,Rv4,1,1234
