AImages,SetA,corrans,corransB,BImages,SetB,CImages,SetC,corransC,corransD,DImages,SetD,EImages,SetE,corransE,A.thisRepN,A.thisTrialN,A.thisN,A.thisIndex,B.thisRepN,B.thisTrialN,B.thisN,B.thisIndex,C.thisRepN,C.thisTrialN,C.thisN,C.thisIndex,D.thisRepN,D.thisTrialN,D.thisN,D.thisIndex,E.thisRepN,E.thisTrialN,E.thisN,E.thisIndex,key_resp_2.keys,key_resp_2.rt,Intro_key_resp.keys,Intro_key_resp.rt,Break_key_resp.keys,Break_key_resp.rt,SET_A_Key.keys,SET_A_Key.corr,SET_A_Key.rt,Set_B_key_resp.keys,Set_B_key_resp.corr,Set_B_key_resp.rt,C_key_resp.keys,C_key_resp.corr,C_key_resp.rt,D_key_resp.keys,D_key_resp.corr,D_key_resp.rt,E_key_resp.keys,E_key_resp.corr,E_key_resp.rt,Outro_key_resp.keys,Outro_key_resp.rt,date,frameRate,expName,session,participant
C:\Users\Shane\Desktop\RavenPyV5\A_6.png,A_6.png,5,,,,,,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,1,0,0.825645358,,,,,,,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
C:\Users\Shane\Desktop\RavenPyV5\A_7.png,A_7.png,1,,,,,,,,,,,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,2,0,0.03417548,,,,,,,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
C:\Users\Shane\Desktop\RavenPyV5\A_11.png,A_11.png,3,,,,,,,,,,,,,0,2,2,10,,,,,,,,,,,,,,,,,,,,,,,3,1,0.034317552,,,,,,,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
C:\Users\Shane\Desktop\RavenPyV5\A_2.png,A_2.png,5,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,4,0,0.016885977,,,,,,,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
C:\Users\Shane\Desktop\RavenPyV5\A_1.png,A_1.png,4,,,,,,,,,,,,,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,5,0,0.0338438,,,,,,,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
C:\Users\Shane\Desktop\RavenPyV5\A_4.png,A_4.png,2,,,,,,,,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,6,0,0.051995456,,,,,,,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
C:\Users\Shane\Desktop\RavenPyV5\A_9.png,A_9.png,4,,,,,,,,,,,,,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,7,0,0.050504516,,,,,,,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
C:\Users\Shane\Desktop\RavenPyV5\A_5.png,A_5.png,6,,,,,,,,,,,,,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,1,0,0.845208005,,,,,,,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
C:\Users\Shane\Desktop\RavenPyV5\A_3.png,A_3.png,1,,,,,,,,,,,,,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,2,0,0.035065183,,,,,,,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
C:\Users\Shane\Desktop\RavenPyV5\A_8.png,A_8.png,3,,,,,,,,,,,,,0,9,9,7,,,,,,,,,,,,,,,,,,,,,,,3,1,0.01714149,,,,,,,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
C:\Users\Shane\Desktop\RavenPyV5\A_12.png,A_12.png,6,,,,,,,,,,,,,0,10,10,11,,,,,,,,,,,,,,,,,,,,,,,4,0,0.000454845,,,,,,,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
C:\Users\Shane\Desktop\RavenPyV5\A_10.png,A_10.png,2,,,,,,,,,,,,,0,11,11,9,,,,,,,,,,,,,,,,,,,,,,,5,0,0.000409468,,,,,,,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,2,C:\Users\Shane\Desktop\RavenPyV5\B_9.png,B_9.png,,,,,,,,,,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,6,0,0.000198792,,,,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,3,C:\Users\Shane\Desktop\RavenPyV5\B_3.png,B_3.png,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,7,0,0.942267666,,,,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,5,C:\Users\Shane\Desktop\RavenPyV5\B_5.png,B_5.png,,,,,,,,,,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,6,0,0.052139688,,,,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,1,C:\Users\Shane\Desktop\RavenPyV5\B_2.png,B_2.png,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,5,0,0.034247326,,,,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,4,C:\Users\Shane\Desktop\RavenPyV5\B_6.png,B_6.png,,,,,,,,,,,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,4,1,0.03439534,,,,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,6,C:\Users\Shane\Desktop\RavenPyV5\B_4.png,B_4.png,,,,,,,,,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,3,0,0.017205233,,,,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,1,C:\Users\Shane\Desktop\RavenPyV5\B_7.png,B_7.png,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,8,0,0.459705993,,,,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,4,C:\Users\Shane\Desktop\RavenPyV5\B_1.png,B_1.png,,,,,,,,,,,,,,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,4,1,0.406273617,,,,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,2,C:\Users\Shane\Desktop\RavenPyV5\B_11.png,B_11.png,,,,,,,,,,,,,,0,8,8,10,,,,,,,,,,,,,,,,,,,,,,3,0,0.034158194,,,,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,3,C:\Users\Shane\Desktop\RavenPyV5\B_8.png,B_8.png,,,,,,,,,,,,,,0,9,9,7,,,,,,,,,,,,,,,,,,,,,,4,0,0.153451769,,,,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,6,C:\Users\Shane\Desktop\RavenPyV5\B_12.png,B_12.png,,,,,,,,,,,,,,0,10,10,11,,,,,,,,,,,,,,,,,,,,,,6,1,0.407029891,,,,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,5,C:\Users\Shane\Desktop\RavenPyV5\B_10.png,B_10.png,,,,,,,,,,,,,,0,11,11,9,,,,,,,,,,,,,,,,,,,,,,6,0,0.490809381,,,,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_12.png,C_12.png,6,,,,,,,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,1,0,0.942888351,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_3.png,C_3.png,7,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,2,0,0.017369992,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_6.png,C_6.png,7,,,,,,,,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,3,0,0.000411089,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_8.png,C_8.png,1,,,,,,,,,,,,,,,0,3,3,7,,,,,,,,,,,,,,,,,,,,,4,0,0.000562884,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_9.png,C_9.png,6,,,,,,,,,,,,,,,0,4,4,8,,,,,,,,,,,,,,,,,,,,,5,0,0.016959984,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_1.png,C_1.png,5,,,,,,,,,,,,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,,,6,0,0.170564629,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_5.png,C_5.png,1,,,,,,,,,,,,,,,0,6,6,4,,,,,,,,,,,,,,,,,,,,,4,0,0.287485665,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_11.png,C_11.png,2,,,,,,,,,,,,,,,0,7,7,10,,,,,,,,,,,,,,,,,,,,,2,1,0.286925482,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_10.png,C_10.png,8,,,,,,,,,,,,,,,0,8,8,9,,,,,,,,,,,,,,,,,,,,,5,0,0.475361945,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_4.png,C_4.png,8,,,,,,,,,,,,,,,0,9,9,3,,,,,,,,,,,,,,,,,,,,,6,0,0.642874468,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_7.png,C_7.png,6,,,,,,,,,,,,,,,0,10,10,6,,,,,,,,,,,,,,,,,,,,,4,0,0.403693642,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_2.png,C_2.png,4,,,,,,,,,,,,,,,0,11,11,1,,,,,,,,,,,,,,,,,,,,,5,0,0.000401906,,,,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,,,,3,C:\Users\Shane\Desktop\RavenPyV5\D_9.png,D_9.png,,,,,,,,,,,,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,2,0,0.357227089,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,,,,8,C:\Users\Shane\Desktop\RavenPyV5\D_6.png,D_6.png,,,,,,,,,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,4,0,0.086938554,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,,,,5,C:\Users\Shane\Desktop\RavenPyV5\D_5.png,D_5.png,,,,,,,,,,,,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,3,0,0.000541276,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,,,,2,C:\Users\Shane\Desktop\RavenPyV5\D_11.png,D_11.png,,,,,,,,,,,,,,,,0,3,3,10,,,,,,,,,,,,,,,,,,,,5,0,0.000487257,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,,,,1,C:\Users\Shane\Desktop\RavenPyV5\D_3.png,D_3.png,,,,,,,,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,6,0,0.03572098,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,,,,4,C:\Users\Shane\Desktop\RavenPyV5\D_10.png,D_10.png,,,,,,,,,,,,,,,,0,5,5,9,,,,,,,,,,,,,,,,,,,,5,0,1.1133995,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,,,,2,C:\Users\Shane\Desktop\RavenPyV5\D_4.png,D_4.png,,,,,,,,,,,,,,,,0,6,6,3,,,,,,,,,,,,,,,,,,,,6,0,0.000551,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,,,,5,C:\Users\Shane\Desktop\RavenPyV5\D_12.png,D_12.png,,,,,,,,,,,,,,,,0,7,7,11,,,,,,,,,,,,,,,,,,,,2,0,0.121690424,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,,,,6,C:\Users\Shane\Desktop\RavenPyV5\D_8.png,D_8.png,,,,,,,,,,,,,,,,0,8,8,7,,,,,,,,,,,,,,,,,,,,4,0,0.000538575,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,,,,7,C:\Users\Shane\Desktop\RavenPyV5\D_7.png,D_7.png,,,,,,,,,,,,,,,,0,9,9,6,,,,,,,,,,,,,,,,,,,,5,0,0.017436977,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,,,,2,C:\Users\Shane\Desktop\RavenPyV5\D_1.png,D_1.png,,,,,,,,,,,,,,,,0,10,10,0,,,,,,,,,,,,,,,,,,,,4,0,0.475986411,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,,,,1,C:\Users\Shane\Desktop\RavenPyV5\D_2.png,D_2.png,,,,,,,,,,,,,,,,0,11,11,1,,,,,,,,,,,,,,,,,,,,4,0,0.709818759,,,,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_3.png,E_3.png,4,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,3,0,0.355585434,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_9.png,E_9.png,5,,,,,,,,,,,,,,,,,0,1,1,8,,,,,,,,,,,,,,,,,,,2,0,0.000409468,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_10.png,E_10.png,2,,,,,,,,,,,,,,,,,0,2,2,9,,,,,,,,,,,,,,,,,,,4,0,0.000486176,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
